code,name,industry,area,pe,outstanding,totals,timeToMarket
002499,科林环保,环境保护,江苏,232.26,1.38,1.89,20101109
600389,江山股份,农药化肥,江苏,590.35,2.97,2.97,20010110
002115,三维通信,通信设备,浙江,0.0,3.43,4.16,20070215
300520,科大国创,软件服务,安徽,443.53,0.23,0.96,20160708
002543,万和电气,家用电器,广东,21.16,3.37,4.4,20110128
002373,千方科技,软件服务,北京,59.17,4.67,11.04,20100318
002569,步森股份,服饰,浙江,0.0,1.37,1.4,20110412
300201,海伦哲,专用机械,江苏,189.72,8.53,10.29,20110407
002420,毅昌股份,塑料,广东,0.0,3.89,4.01,20100601
300045,华力创通,电脑设备,北京,276.18,3.36,5.55,20100120
300249,依米康,专用机械,四川,237.31,2.78,4.4,20110803
300162,雷曼股份,元器件,深圳,109.53,2.22,3.5,20110113
002741,光华科技,化工原料,广东,121.01,1.36,3.6,20150216
600800,天津磁卡,综合类,天津,0.0,6.1,6.11,19931206
601996,丰林集团,林业,广西,46.5,4.69,4.69,20110929
300380,安硕信息,软件服务,上海,687.68,0.48,1.37,20140128
300077,国民技术,半导体,深圳,171.09,5.38,5.64,20100430
300008,天海防务,船舶,上海,60.1,1.8,3.82,20091030
600866,*ST星湖,食品,广东,222.03,5.5,6.45,19940818
002559,亚威股份,机床制造,江苏,72.78,3.08,3.71,20110303
600419,天润乳业,乳制品,新疆,60.61,0.89,1.04,20010628
002412,汉森制药,中成药,湖南,74.49,2.87,2.96,20100525
600908,无锡银行,银行,江苏,26.64,1.85,18.48,20160923
300014,亿纬锂能,元器件,广东,67.11,4.1,4.27,20091030
300252,金信诺,电气设备,深圳,74.72,2.66,4.44,20110818
002432,九安医疗,医疗保健,天津,0.0,3.72,4.33,20100610
002268,卫 士 通,软件服务,四川,2090.93,3.45,4.33,20080811
002235,安妮股份,造纸,福建,514.13,2.27,4.14,20080516
300348,长亮科技,软件服务,深圳,113.26,1.42,2.92,20120817
601106,中国一重,工程机械,黑龙江,0.0,65.38,65.38,20100209
002438,江苏神通,机械基件,江苏,113.47,1.35,2.2,20100623
000023,深天地Ａ,其他建材,深圳,434.26,1.39,1.39,19930429
000610,西安旅游,旅游服务,陕西,1615.82,2.35,2.37,19960926
300193,佳士科技,专用机械,深圳,50.34,3.61,5.08,20110322
002813,路畅科技,汽车配件,深圳,153.88,0.3,1.2,20161012
300555,路通视信,通信设备,江苏,127.81,0.2,0.8,20161018
300247,乐金健康,医疗保健,安徽,152.87,4.66,7.22,20110729
002154,报 喜 鸟,服饰,浙江,0.0,10.66,11.72,20070816
603798,康普顿,石油加工,山东,58.55,0.25,1.0,20160406
