code,name,industry,area,pe,outstanding,totals,timeToMarket
002138,顺络电子,元器件,深圳,37.62,67302.92,74093.88,20070613
600236,桂冠电力,水力发电,广西,10.97,112852.67,606336.75,20000323
601007,金陵饭店,酒店餐饮,江苏,119.81,30000.0,30000.0,20070406
000969,安泰科技,钢加工,北京,480.76,86142.47,102600.81,20000529
300339,润和软件,软件服务,江苏,88.52,20297.25,35785.17,20120718
000707,双环科技,化工原料,湖北,178.33,46414.42,46414.57,19970415
002350,北京科锐,电气设备,北京,131.42,21757.59,21828.0,20100203
600076,康欣新材,其他建材,山东,33.56,36553.6,103426.4,19970526
000926,福星股份,区域地产,湖北,13.45,71088.28,94932.25,19990618
002660,茂硕电源,电气设备,深圳,236.78,19165.22,27703.06,20120316
002648,卫星石化,化工原料,浙江,63.99,80000.0,80000.0,20111228
300415,伊之密,专用机械,广东,44.19,15900.0,24000.0,20150123
000632,三木集团,综合类,福建,606.83,46548.53,46551.96,19961121
600192,长城电工,电气设备,甘肃,140.16,44174.8,44174.8,19981224
600226,升华拜克,农药化肥,浙江,38.71,109498.29,109498.29,19991116
600229,城市传媒,出版业,山东,35.9,42977.21,70209.6,20000309
002534,杭锅股份,专用机械,浙江,37.65,59293.94,61703.25,20110110
002407,多氟多,化工原料,河南,41.71,47566.58,62810.53,20100518
002206,海 利 得,化纤,浙江,30.75,34435.08,48722.94,20080123
002527,新时达,电器仪表,上海,43.75,36731.32,62017.12,20101224
300199,翰宇药业,化学制药,深圳,62.41,55943.28,91834.25,20110407
600532,宏达矿业,普钢,山东,0.0,39623.44,51606.57,20021031
300431,暴风集团,互联网,北京,432.21,18929.9,27674.26,20150324
002746,仙坛股份,农业综合,山东,35.17,5635.0,18184.01,20150216
600217,中再资环,环境保护,陕西,220.53,69198.27,134158.75,19991216
002700,新疆浩源,供气供热,新疆,87.95,31309.33,42242.69,20120921
000828,东莞控股,路桥,广东,13.49,103951.7,103951.7,19970617
300417,南华仪器,电器仪表,广东,109.56,2757.92,8160.0,20150123
000062,深圳华强,商贸代理,深圳,52.41,66694.96,72131.67,19970130
002789,建艺集团,装修装饰,深圳,81.1,2030.0,8120.0,20160311
002161,远 望 谷,通信设备,深圳,0.0,69796.71,73975.74,20070821
600428,中远航运,水运,广东,1433.47,169044.64,214665.06,20020418
002068,黑猫股份,化工原料,江西,0.0,60695.8,60706.35,20060915
600833,第一医药,医药商业,上海,86.18,22308.63,22308.63,19940224
300499,高澜股份,专用机械,广东,181.66,3000.6,12000.59,20160202
600468,百利电气,电气设备,天津,138.16,45619.19,54074.23,20010615
300521,爱司凯,专用机械,广东,183.71,2000.0,8000.0,20160705
300072,三聚环保,环境保护,北京,32.34,89266.25,119259.2,20100427
300388,国祯环保,环境保护,安徽,88.39,14486.67,30410.02,20140801
000758,中色股份,铅锌,北京,60.05,196913.45,196937.84,19970416
601186,中国铁建,建筑施工,北京,11.94,1150324.5,1357954.13,20080310
002631,德尔未来,家居用品,江苏,78.64,28624.77,64984.8,20111111
601579,会稽山,红黄药酒,浙江,75.88,24800.0,49736.0,20140825
000417,合肥百货,百货,安徽,22.18,77898.93,77988.42,19960812
600993,马应龙,中成药,湖北,31.9,43023.62,43105.39,20040517
300542,新晨科技,软件服务,北京,482.19,2255.0,9015.0,20160920
002158,汉钟精机,工程机械,上海,35.96,53038.1,53038.1,20070817
600977,中国电影,影视音像,北京,44.14,46700.0,186700.0,20160809
002431,棕榈股份,建筑施工,广东,129.67,90361.82,137699.66,20100610
002674,兴业科技,纺织,福建,131.45,24057.19,30316.76,20120507
002458,益生股份,农业综合,山东,21.09,15882.5,33351.6,20100810
002096,南岭民爆,化工原料,湖南,182.74,37085.19,37128.69,20061222
600037,歌华有线,影视音像,北京,28.07,116835.2,139177.78,20010208
600790,轻纺城,商品城,浙江,16.73,104699.35,104699.35,19970228
002612,朗姿股份,服饰,北京,78.68,20985.59,40000.0,20110830
600617,国新能源,供气供热,山西,21.43,22548.17,108466.36,19921013
002555,三七互娱,互联网,安徽,41.2,46823.19,208479.48,20110302
000777,中核科技,机械基件,江苏,140.37,38335.89,38341.76,19970710
000691,ST亚太,区域地产,海南,0.0,29048.63,32327.0,19970228
600667,太极实业,半导体,江苏,193.06,119127.42,119127.42,19930728
000548,湖南投资,路桥,湖南,43.37,49920.1,49921.57,19931220
